B,Delta,h,Sigma_D_D,Sigma_D_h,Sigma_h_h,tau_sf_inv,tau_so_inv,x_N,G_N,Sigma_GN,Gamma,Sigma_Gamma,T
-86.0,0.0,0.0,0.0,0.0,0.0,0.0319164802601686,0.0169658999780116,1.0,0.04253323972972632,0.0003566540533705547,1e-06,0.0,0.0034468
-84.0,0.0,0.0,0.0,0.0,0.0,0.0319164802601686,0.0169658999780116,0.9886165177556216,0.04253323972972632,0.0003566540533705547,1e-06,0.0,0.0034468
-82.0,0.0,0.0,0.0,0.0,0.0,0.0319164802601686,0.0169658999780116,1.0,0.04253323972972632,0.0003566540533705547,1e-06,0.0,0.0034468
-80.0,0.0,0.0,0.0,0.0,0.0,0.0319164802601686,0.0169658999780116,1.0,0.04253323972972632,0.0003566540533705547,1e-06,0.0,0.0034468
-78.0,0.2691766717851429,0.2160806178633982,0.0001167593657931,6.503060759527813e-05,0.0001085542343838,0.0319164802601686,0.0169658999780116,0.987354195866775,0.04253323972972632,0.0003566540533705547,1e-06,0.0,0.0034468
-76.0,0.255612965223868,0.1901317259966841,0.0,0.0,0.0,0.0319164802601686,0.0169658999780116,1.0,0.04253323972972632,0.0003566540533705547,1e-06,0.0,0.0034468
-74.0,0.255612965223868,0.1901317259966841,0.0,0.0,0.0,0.0319164802601686,0.0169658999780116,1.0,0.04253323972972632,0.0003566540533705547,1e-06,0.0,0.0034468
-72.0,0.255612965223868,0.1901317259966841,0.0001071399419554,5.476426005888196e-05,0.0001006130672127,0.0319164802601686,0.0169658999780116,0.9236858355980562,0.04253323972972632,0.0003566540533705547,1e-06,0.0,0.0034468
-70.0,0.2599732435386622,0.1868599545817763,1.562977098950021e-05,6.230636412962875e-06,1.473640554798966e-05,0.0319164802601686,0.0169658999780116,0.7073675596073784,0.04253323972972632,0.0003566540533705547,1e-06,0.0,0.0034468
-68.0,0.2600481663178919,0.1860669449061185,8.184345789177424e-06,3.992906894289714e-06,7.707882486882363e-06,0.0319164802601686,0.0169658999780116,0.5530911906824825,0.04253323972972632,0.0003566540533705547,1e-06,0.0,0.0034468
-66.0,0.2596601446957337,0.1852970495122511,5.731909080311376e-06,2.98097044358032e-06,5.851557883650577e-06,0.0319164802601686,0.0169658999780116,0.4536147638716291,0.04253323972972632,0.0003566540533705547,1e-06,0.0,0.0034468
-64.0,0.259933299972107,0.1828473941603181,7.439084603118585e-06,2.288751465169844e-06,6.913251745826717e-06,0.0319164802601686,0.0169658999780116,0.3733104576331662,0.04253323972972632,0.0003566540533705547,1e-06,0.0,0.0034468
-62.0,0.262219525269429,0.1784024888269289,6.194017372708145e-06,1.9331383764115247e-06,5.964266901250786e-06,0.0319164802601686,0.0169658999780116,0.2924617750801354,0.04253323972972632,0.0003566540533705547,1e-06,0.0,0.0034468
-60.0,0.2618831514574692,0.1766304564936041,5.4575572390652085e-06,2.339963879156344e-06,5.393397652831185e-06,0.0319164802601686,0.0169658999780116,0.2503196443293977,0.04253323972972632,0.0003566540533705547,1e-06,0.0,0.0034468
-58.0,0.2697066007265126,0.1666510174242779,1.3365397348795756e-05,-6.195797114433959e-07,1.0444528913624914e-05,0.0319164802601686,0.0169658999780116,0.2195730030531227,0.04253323972972632,0.0003566540533705547,1e-06,0.0,0.0034468
-56.0,0.2687794924677257,0.1650800366801911,1.1248703107812862e-05,-3.700918856194137e-07,1.0503356728440852e-05,0.0319164802601686,0.0169658999780116,0.1913576812952985,0.04253323972972632,0.0003566540533705547,1e-06,0.0,0.0034468
-54.0,0.2685831218746169,0.1631152767860149,9.584366964734104e-06,3.796389085930638e-07,8.55183178082665e-06,0.0319164802601686,0.0169658999780116,0.1582581448444748,0.04253323972972632,0.0003566540533705547,1e-06,0.0,0.0034468
-52.0,0.2668844754540362,0.1605513705465889,8.360111613870262e-06,7.159099970619357e-07,8.32452916904357e-06,0.0319164802601686,0.0169658999780116,0.1255215259366948,0.04253323972972632,0.0003566540533705547,1e-06,0.0,0.0034468
-50.0,0.2662356046559972,0.1583747062762356,7.987358825636193e-06,1.627720650648825e-06,7.240597761635713e-06,0.0319164802601686,0.0169658999780116,0.116659176637256,0.04253323972972632,0.0003566540533705547,1e-06,0.0,0.0034468
-48.0,0.2696312021602556,0.1527788129992864,7.529379336163364e-06,2.5947736287745013e-06,7.987527486153843e-06,0.0319164802601686,0.0169658999780116,0.0996578855823728,0.04253323972972632,0.0003566540533705547,1e-06,0.0,0.0034468
-46.0,0.2664065885430862,0.1493685592410251,7.255228711247852e-06,2.207044937827336e-06,7.064328643161674e-06,0.0319164802601686,0.0169658999780116,0.0875395954494425,0.04253323972972632,0.0003566540533705547,1e-06,0.0,0.0034468
-44.0,0.26556491025336,0.1471109009252621,7.060721858423834e-06,3.2511401490530378e-06,6.611554388513372e-06,0.0319164802601686,0.0169658999780116,0.089167262423426,0.04253323972972632,0.0003566540533705547,1e-06,0.0,0.0034468
-42.0,0.264946299964663,0.1427713452179305,9.045851965646491e-06,1.6416087557178272e-06,8.302672236639261e-06,0.0319164802601686,0.0169658999780116,0.0803049131239873,0.04253323972972632,0.0003566540533705547,1e-06,0.0,0.0034468
-40.0,0.2652094221267693,0.1355865110922046,7.536682375150211e-06,3.197163229600968e-06,6.9133876740493775e-06,0.0319164802601686,0.0169658999780116,0.0661972522450764,0.04253323972972632,0.0003566540533705547,1e-06,0.0,0.0034468
-38.0,0.2625479659743958,0.1318785566560509,7.12608735304943e-06,3.692379997483249e-06,6.641948798540036e-06,0.0319164802601686,0.0169658999780116,0.0567922865990895,0.04253323972972632,0.0003566540533705547,1e-06,0.0,0.0034468
-36.0,0.2612160579658509,0.1244077269899811,9.23576908002946e-06,2.480099435445394e-06,8.402682782354381e-06,0.0319164802601686,0.0169658999780116,0.0591435431827235,0.04253323972972632,0.0003566540533705547,1e-06,0.0,0.0034468
-34.0,0.2580893674507267,0.1197062852222477,8.017139229389268e-06,3.205648242619929e-06,7.521187206298144e-06,0.0319164802601686,0.0169658999780116,0.0538984136689074,0.04253323972972632,0.0003566540533705547,1e-06,0.0,0.0034468
-32.0,0.2588390905216837,0.1089413804443934,8.973944360860807e-06,3.277235385581288e-06,8.333674649253119e-06,0.0319164802601686,0.0169658999780116,0.057515754831635,0.04253323972972632,0.0003566540533705547,1e-06,0.0,0.0034468
-30.0,0.2562203903228015,0.1045318842191422,7.62896756665648e-06,3.89473913385931e-06,7.186023056547741e-06,0.0319164802601686,0.0169658999780116,0.057334842257084,0.04253323972972632,0.0003566540533705547,1e-06,0.0,0.0034468
-28.0,0.256988883961398,0.0953024976439946,9.909147436569783e-06,3.320286377427285e-06,8.99428630868297e-06,0.0319164802601686,0.0169658999780116,0.0709000081665541,0.04253323972972632,0.0003566540533705547,1e-06,0.0,0.0034468
-26.0,0.2725294146807669,0.0737183630866353,8.512314673461203e-06,5.187508574113126e-06,8.32492391289203e-06,0.0319164802601686,0.0169658999780116,0.0466637920320059,0.04253323972972632,0.0003566540533705547,1e-06,0.0,0.0034468
-24.0,0.27166798543241,0.0694955316086128,1.2910979996165466e-05,2.1411488463026204e-06,1.040475108451621e-05,0.0319164802601686,0.0169658999780116,0.0616759550951182,0.04253323972972632,0.0003566540533705547,1e-06,0.0,0.0034468
-22.0,0.267411881741482,0.0620782152632357,1.0592781302324015e-05,3.4916601203279416e-06,9.19257512107914e-06,0.0319164802601686,0.0169658999780116,0.0627610664111096,0.04253323972972632,0.0003566540533705547,1e-06,0.0,0.0034468
-20.0,0.2625729638137175,0.0539124226332127,8.706934506865467e-06,4.178344020188692e-06,8.107077870565736e-06,0.0319164802601686,0.0169658999780116,0.065112140929085,0.04253323972972632,0.0003566540533705547,1e-06,0.0,0.0034468
-18.0,0.2605022849152055,0.0413478859544318,9.01467748902601e-06,3.99475707049668e-06,9.58836405399855e-06,0.0319164802601686,0.0169658999780116,0.0495576042736367,0.04253323972972632,0.0003566540533705547,1e-06,0.0,0.0034468
-16.0,0.2576492685034956,0.0291785615277488,9.205933330860491e-06,6.909159099583744e-06,1.2409069451612853e-05,0.0319164802601686,0.0169658999780116,0.0638461777270986,0.04253323972972632,0.0003566540533705547,1e-06,0.0,0.0034468
