B,Delta,h,Sigma_D_D,Sigma_D_h,tau_sf_inv,tau_so_inv,x_N,G_N,Sigma_GN,Gamma,Sigma_Gamma,T
-74.0,0.28427597739727,0.19924586190777,5.1485747434705485e-06,2.8537016558639e-06,0.0459042345571715,0.0049112310663594,0.801934884345205,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
-72.0,0.2818928491345248,0.1969625824329036,3.1818594698863364e-06,1.728473513986617e-06,0.0459042345571715,0.0049112310663594,0.6091205886210062,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
-70.0,0.2827216823297268,0.1937505753999912,2.1692080100776966e-06,8.890614407004549e-07,0.0459042345571715,0.0049112310663594,0.4622428877976265,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
-68.0,0.2817666959608,0.1920764984710781,1.3006653973030504e-06,6.037038054056472e-07,0.0459042345571715,0.0049112310663594,0.3509469344269286,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
-66.0,0.2836495212285723,0.1887252085688117,1.4343292243516062e-06,5.039886262365265e-07,0.0459042345571715,0.0049112310663594,0.2765105218621977,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
-64.0,0.2827465740792614,0.186864314775702,8.104208724443689e-07,3.810586609155471e-07,0.0459042345571715,0.0049112310663594,0.2169598688147589,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
-62.0,0.2818373194679625,0.1848452501382841,9.478598503562212e-07,4.829275285773859e-07,0.0459042345571715,0.0049112310663594,0.1804658469656317,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
-60.0,0.2822931036458208,0.1811975083168922,1.3221658277877724e-06,5.118937048404396e-07,0.0459042345571715,0.0049112310663594,0.1432477929828319,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
-58.0,0.2817134952818332,0.1790831275011566,1.1126205585688571e-06,5.011190048030488e-07,0.0459042345571715,0.0049112310663594,0.1154698752586757,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
-56.0,0.2825757082054816,0.1746351145853533,1.346725030538488e-06,5.567203430628617e-07,0.0459042345571715,0.0049112310663594,0.0918672501185848,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
-54.0,0.2815435700433364,0.1723722168129259,1.240069552627282e-06,6.360947772528683e-07,0.0459042345571715,0.0049112310663594,0.072440831359952,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
-52.0,0.2826947611860893,0.1681030580913425,1.778587428222982e-06,5.706267154985257e-07,0.0459042345571715,0.0049112310663594,0.0577349376293375,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
-50.0,0.2810894746097483,0.165066392534787,1.4317499287155858e-06,6.152515822901901e-07,0.0459042345571715,0.0049112310663594,0.0459337012090752,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
-48.0,0.2810685381193875,0.1602620422594952,1.6315945718021725e-06,6.212881583729679e-07,0.0459042345571715,0.0049112310663594,0.0332247593793275,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
-46.0,0.2825957165550216,0.1557431199907159,2.0934205398639395e-06,6.56235769985061e-07,0.0459042345571715,0.0049112310663594,0.0270519056961331,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
-44.0,0.2805704117750527,0.1518522308405335,1.6784852039098098e-06,7.64133000993397e-07,0.0459042345571715,0.0049112310663594,0.0223313806681154,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
-42.0,0.2805013985012351,0.1465623194146795,1.70745117189363e-06,6.510852379212967e-07,0.0459042345571715,0.0049112310663594,0.0168846913125091,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
-40.0,0.280255230044311,0.1400003902026155,1.9960546508503337e-06,8.625141592855903e-07,0.0459042345571715,0.0049112310663594,0.0141613923245756,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
-38.0,0.2778475673226936,0.1359604429251782,1.7548031144218192e-06,1.024061289436122e-06,0.0459042345571715,0.0049112310663594,0.0107118071694016,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
-36.0,0.2767503112237188,0.1286489196498339,2.063819263931034e-06,9.887593809299757e-07,0.0459042345571715,0.0049112310663594,0.0098040256101344,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
-34.0,0.275088780200745,0.1211771885890715,2.197600925778354e-06,1.089666356288262e-06,0.0459042345571715,0.0049112310663594,0.0081700340334086,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
-32.0,0.2741231030253647,0.113345748247131,2.418459779391858e-06,9.68864837833548e-07,0.0459042345571715,0.0049112310663594,0.0047204641081914,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
-30.0,0.2717043556081719,0.104784320821153,2.2910351817950084e-06,1.1464790031755329e-06,0.0459042345571715,0.0049112310663594,0.0050835615019423,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
-28.0,0.2707738367647313,0.0963988062734097,2.4784876153339425e-06,1.2075551226836675e-06,0.0459042345571715,0.0049112310663594,0.0029049009896564,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
-26.0,0.2683906701023171,0.0873813314522648,2.6359974101256683e-06,1.37036691686341e-06,0.0459042345571715,0.0049112310663594,0.0016340068066814,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
-24.0,0.2704038475940202,0.0769453154480144,3.456921678202592e-06,1.4735547648057778e-06,0.0459042345571715,0.0049112310663594,0.0001815563118535,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
-22.0,0.2680602593485668,0.0671604721251162,3.4047405436621583e-06,1.74725972020086e-06,0.0459042345571715,0.0049112310663594,0.0,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
