magnet_bpar	v_bias	lockin_6_CondX
-0.2	0.00038	0.0115517734067921
-0.2	0.00039	0.0116508429618192
-0.2	0.0004	0.0117219830591758
-0.2	0.00041	0.0117787196099703
-0.2	0.00042	0.0117412136007326
-0.2	0.00043	0.0118835454210607
-0.2	0.00044	0.0121306772396718
-0.2	0.00045	0.0124806989088138
-0.2	0.00046	0.0125354994990489
-0.2	0.00047	0.0120316334974522
-0.2	0.00048	0.011671028577252
-0.2	0.00049	0.0118364112346409
-0.2	0.0005	0.012197971228717
-0.2	0.00051	0.0126701391027543
-0.2	0.00052	0.0129432127928615
-0.2	0.00053	0.0127461061951057
-0.2	0.00054	0.0123979946737156
-0.2	0.00055	0.0122056634453397
-0.2	0.00056	0.0121710484705374
-0.2	0.00057	0.0123355018668577
-0.2	0.00058	0.0121383694562945
