magnet_bpar	lockin_1_ResX	lockin_2_ResX	lockin_3_ResX	lockin_4_ResX	lockin_5_ResX
-0.21375	13553.522527	7009.3765855	295.91103084	174.90173923	67.127624061
-0.2125	13554.015756	7005.7086647	295.46613805	172.95146827	67.123811459
-0.21125	13552.935421	7005.2705705	295.69461476	174.60893141	67.008374026
-0.21	13553.094864	7001.2919605	295.57954986	172.4446076	66.65388355
-0.20875	13553.884625	6999.2743433	295.73654756	174.98563975	68.499572808
-0.2075	13554.231822	6998.2491434	295.91873754	173.00536856	67.664822564
-0.20625	13553.258777	6996.6211915	295.92229985	172.96219012	68.200461101
-0.205	13552.077115	6992.6224649	295.91103084	174.322573	66.810147837
-0.20375	13552.604616	6991.1889732	295.80052942	175.50967168	68.529800046
-0.2025	13551.491499	6990.1637733	295.61205301	176.0690473	67.02268729
-0.20125	13551.11748	6990.5482233	295.61810661	173.61138016	66.572072683
-0.2	13550.856709	6981.9539785	295.78709509	173.52665309	67.063025199
-0.19875	13550.749421	6979.932636	296.02663126	171.88810743	66.822662484
-0.1975	13552.449644	6977.7399302	295.80453411	171.42769648	67.685282556
-0.19625	13550.999761	6973.1377065	295.53121421	173.8200197	67.273440072
-0.195	13550.424576	6966.7071104	295.61093543	173.2655568	66.090526525
-0.19375	13551.624119	6964.2439485	295.91103084	172.13545507	67.017157562
-0.1925	13550.870121	6960.8174264	295.76478992	173.07578819	67.756482167
-0.19125	13552.078605	6950.8515298	295.81550043	173.64437226	66.537124803
-0.19	13549.917936	6949.6743381	295.78222893	174.18435309	66.405523103
-0.18875	13550.260663	6947.9636848	295.63205317	172.13305691	66.401151707
-0.1875	13549.616933	6945.3157485	295.89512851	170.73374474	67.176821176
-0.18625	13549.929857	6942.8361952	295.86371966	172.24925105	66.992087523
-0.185	13549.399376	6938.3524358	295.80378905	170.56940123	66.335708834
-0.18375	13549.564779	6937.815249	296.12742364	173.57134493	67.538046278
-0.1825	13548.783958	6935.8974695	295.80241535	171.67425249	66.282245098
-0.18125	13549.436629	6930.9853017	295.88986654	170.43985426	66.347979009
-0.18	13549.534976	6927.0759821	296.00949492	169.31032296	66.590559436
-0.17875	13549.424708	6925.5553186	295.91065831	171.00430559	66.214782419
-0.1775	13550.21745	6923.9221513	295.69729231	172.35664418	66.870753653
-0.17625	13549.156487	6923.417747	295.62055133	169.88463467	65.64243813
-0.175	13548.341393	6921.9127297	295.49624305	169.91537996	65.095693571
-0.17375	13548.801839	6919.1895425	295.84460426	171.01484118	65.311777871
-0.1725	13547.728956	6918.7790155	295.87834142	171.44309822	66.465022974
-0.17125	13546.185195	6913.7632847	295.42043339	171.19111726	64.823508728
-0.17	13546.703756	6913.8400257	295.8052326	173.47326502	64.225413371
-0.16875	13544.504344	6910.9864533	295.470329	169.88518182	64.479006687
-0.1675	13546.784222	6910.6988609	295.75990047	171.07704189	65.495073795
-0.16625	13545.338809	6906.8573415	295.26927974	168.97477908	63.800939824
-0.165	13543.951511	6904.6497345	295.81573326	169.63393427	64.136367291
-0.16375	13544.087112	6904.5223296	293.06306969	170.87691231	64.238713821
-0.1625	13544.903696	6899.6749818	293.43196657	170.05545087	64.757739892
-0.16125	13543.193042	6898.4687328	293.3147829	170.19560328	62.85047275
-0.16	13542.254269	6897.688657	293.55112929	167.1836013	63.527550083
-0.15875	13543.134928	6871.111691	292.98912268	169.5046667	61.675132019
-0.1575	13541.539013	6850.7649004	292.76497662	168.05441119	61.098509468
-0.15625	13540.275395	6828.7067115	292.48970095	166.72869679	60.779420892
-0.155	13540.177047	6824.7377872	291.41276609	164.7497993	56.27819337
-0.15375	13533.501327	6740.6192422	291.01893306	154.85382173	49.794238294
-0.1525	13510.642946	6703.2195628	294.04743109	153.15945493	41.871116264
-0.15125	13504.388928	6671.0926592	294.2914376	124.87818021	33.99309644
-0.15	13501.946628	6546.9264984	291.04151763	121.90395501	21.882925648
-0.14875	13491.96285	6545.4535186	253.19196284	102.98686102	17.858381034
-0.1475	13410.22253	6535.8988941	188.09495959	68.58917186	17.80417806
-0.14625	13405.880332	6423.6044884	11.392401939	30.770842568	17.401142395
-0.145	13299.047947	6391.3457096	10.088257113	30.111480737	15.765533317
-0.14375	13274.693489	6123.5036701	-0.41462958507	28.559681959	16.977955238
-0.1425	13231.872022	6005.3534806	-1.4134252524	29.57014367	16.491346469
-0.14125	13230.670989	5827.0473033	-0.13880543293	28.468199889	17.115712399
-0.14	13229.1466	5773.5633105	-0.71120002758	27.490512002	15.253228776
-0.13875	13228.417933	5774.2156088	-0.61341002038	28.69903401	16.738941486
-0.1375	13219.761848	5773.7737894	-0.53628482419	27.352376492	16.022841737
-0.13625	13155.712187	5774.0975171	-0.38489897634	27.006250457	17.120951088
-0.135	13152.599335	5774.1701603	-0.34163158489	29.042136157	17.420694348
-0.13375	13130.46664	5774.3590325	0.15316140889	25.990884751	15.734450426
-0.1325	13104.15566	5774.3888348	-0.29561826977	26.686108322	16.581379168
-0.13125	13102.982938	5774.7866958	-0.43937016017	27.265574317	16.710475029
-0.13	12986.159325	5774.1660625	-0.49151058192	28.441066388	16.15746296
-0.12875	12984.707952	5774.4558901	0.080666598024	31.585979741	17.536421365
-0.1275	12769.882381	5774.6708393	-0.4320723292	28.666420258	18.025471945
-0.12625	12736.801803	5773.9865035	0.087102228008	28.087542159	17.051576287
-0.125	12645.338476	5774.3739337	-0.15810504692	30.130147934	16.913170111
-0.12375	11587.335914	5774.474144	-0.61932601056	27.178981691	17.003742687
-0.1225	11586.154997	5774.5974511	-0.05650492767	27.603967465	16.612683248
-0.12125	11586.654186	5773.7231255	-0.19837339096	26.323299971	16.766128829
-0.12	11256.121844	5773.5569775	-0.46391041906	29.182998696	17.023242253
-0.11875	10769.101232	5774.1429657	-0.0086350368633	27.6880397	16.332093219
-0.1175	10769.595206	5774.1977274	-0.013994146286	29.241899028	16.365689225
-0.11625	10769.341141	5774.5315135	-0.60643324105	29.375270242	17.045557615
-0.115	10768.808424	5774.93608	-0.29049469958	27.65156969	15.900249127
-0.11375	10769.649595	5774.9148458	-0.61367991293	31.194018084	16.500122729
-0.1125	10770.460218	5774.0677148	-0.27369371765	30.650917324	15.796168009
-0.11125	10769.373178	5774.5784521	-0.028367713867	29.080195236	18.60542543
-0.11	10768.052191	5774.3366808	-0.17984742726	28.101712815	17.251483223
-0.10875	10769.274086	5774.6529579	-0.59300145949	29.451205046	17.317205493
-0.1075	10769.402236	5774.5534927	-0.61229970925	25.429489324	17.052551266
-0.10625	10769.500583	5774.2625475	0.20081420189	29.211406945	16.982926172
