B_ax,x_N_up,nis_th_up,x_N_down,nis_th_down,M_up,M_down
-150.0,0.3507305383619568,0.378425,0.2861781854818632,0.12749999999999995,-0.6815950459577703,-0.6422511623112069
-147.5,0.319138781031552,0.35,0.2857593074351933,0.11107500000000003,-0.678430975161,-0.6385023736409543
-145.0,0.3125685491796437,0.32475,0.2502309397792363,0.09630000000000005,-0.6752481754408144,-0.6347321730366401
-142.5,0.2647593535997491,0.29384999999999994,0.2393213373200194,0.084125,-0.6720467839685008,-0.6309407884376264
-140.0,0.2604264950074235,0.26722500000000005,0.2384824078988169,0.07074999999999998,-0.6688269421743898,-0.627128448323689
-137.5,0.2404367141079983,0.23812500000000003,0.2162419782779892,0.05712499999999998,-0.6655887955102961,-0.6232953795936628
-135.0,0.2291138230207189,0.21675,0.1955421281397335,0.049699999999999966,-0.6623324931463367,-0.6194418048235828
-132.5,0.2047911835289681,0.19057500000000005,0.1865896365540349,0.04277500000000001,-0.6590581875860342,-0.6155679387236938
-130.0,0.2021351822538346,0.16942500000000005,0.1759592861259318,0.036924999999999986,-0.6557660341795517,-0.6116739835607126
-127.5,0.1938869204572396,0.14429999999999998,0.1614123672950679,0.030850000000000044,-0.6524561905097586,-0.6077601232431964
-125.0,0.1684455943356972,0.12555000000000005,0.1449083375906858,0.02707499999999996,-0.6491288156194177,-0.6038265156792404
-122.5,0.1579611319070141,0.10914999999999997,0.1367947754261901,0.02290000000000003,-0.6457840690397001,-0.5998732829011308
-120.0,0.171940024269427,0.08709999999999996,0.132178903617784,0.019449999999999967,-0.6424221095701175,-0.5959004983034033
-117.5,0.1477569274495263,0.07679999999999998,0.1242061407967064,0.01805000000000001,-0.639043093747259,-0.5919081701492152
-115.0,0.1488756140793175,0.065075,0.1267241023881753,0.015599999999999947,-0.6356471739237786,-0.5878962202523894
-112.5,0.130841775840785,0.056074999999999986,0.1053238928491983,0.013275000000000037,-0.6322344958590829,-0.5838644564226168
-110.0,0.128605575208697,0.04710000000000003,0.1022467231987851,0.011275000000000035,-0.6288051956980829,-0.5798125368481776
-107.5,0.1165837981346719,0.04005000000000003,0.0832241452390031,0.008024999999999949,-0.6253593961828979,-0.5757399240571714
-105.0,0.1168633525293703,0.03264999999999996,0.0877000390334935,0.006099999999999994,-0.6218972019029213,-0.5716458254100711
-102.5,0.0887660251326948,0.026449999999999974,0.0801469755885899,0.004674999999999985,-0.6184186933391377,-0.5675291161891952
-100.0,0.0884863534752468,0.021824999999999983,0.0632221905129587,0.003449999999999953,-0.6149239193964742,-0.5633882402080092
-97.5,0.0830346909903804,0.016774999999999984,0.0600051601814162,0.0019500000000000073,-0.6114128880400855,-0.5592210813933916
-95.0,0.0794001320710536,0.013824999999999976,0.0619633270500104,0.0014999999999999458,-0.6078855545538354,-0.5550247979067686
-92.5,0.0670985660768309,0.011099999999999999,0.04825592430428,0.0011750000000000371,-0.6043418068168296,-0.5507956079522117
-90.0,0.0680771237210246,0.007950000000000013,0.0577672719505642,0.0008249999999999647,-0.6007814468404883,-0.5465285133311748
-87.5,0.0592704567115299,0.00572499999999998,0.0374858305278334,0.0004250000000000087,-0.5972041676164926,-0.5422169428739442
-85.0,0.0574532358832411,0.003349999999999964,0.0478363422608923,0.0003750000000000142,-0.5936095240853516,-0.5378522929038486
-82.5,0.0539584541612628,0.0023999999999999577,0.0391642760341693,0.00019999999999997797,-0.5899968967342379,-0.5334233356379726
-80.0,0.0433345663234787,0.001574999999999993,0.0384649726285234,0.0,-0.5863654459561749,-0.5289154586429741
-77.5,0.0471089024401554,0.0009000000000000119,0.0283940649249368,0.0,-0.5827140548321371,-0.5243096888964097
