,h_s,xi,q
64,0.29000000000000004,5.0,0.1287519669428057
65,0.30000000000000004,5.0,0.11811075986052132
66,0.31000000000000005,5.0,0.10905541547149396
67,0.32000000000000006,5.0,0.10137239867544263
68,0.33000000000000007,5.0,0.09494006435972778
69,0.3400000000000001,5.0,0.08934504672162978
70,0.21,6.0,0.13543531639101328
71,0.22,6.0,0.20503813995059098
72,0.23,6.0,0.2321265667559955
73,0.24000000000000002,6.0,0.23408380298094386
74,0.25,6.0,0.22674363878208467
75,0.26,6.0,0.2137690001657669
76,0.27,6.0,0.19813573013732966
77,0.28,6.0,0.1820956323500561
78,0.29000000000000004,6.0,0.16681867549920434
79,0.30000000000000004,6.0,0.15326678912798206
80,0.31000000000000005,6.0,0.14155431964626936
81,0.32000000000000006,6.0,0.1316335097218263
82,0.33000000000000007,6.0,0.12379485466429532
83,0.3400000000000001,6.0,0.1165260009059735
84,0.21,7.0,0.12579369521242167
85,0.22,7.0,0.20476590358958416
86,0.23,7.0,0.24817207710124703
87,0.24000000000000002,7.0,0.2620695193310191
88,0.25,7.0,0.26311363053417847
89,0.26,7.0,0.2544360399231662
90,0.27,7.0,0.23955366514765364
91,0.28,7.0,0.22214084415152383
92,0.29000000000000004,7.0,0.2044735635239086
93,0.30000000000000004,7.0,0.1882961429719304
94,0.31000000000000005,7.0,0.17477835806007216
95,0.32000000000000006,7.0,0.16307456833152212
96,0.33000000000000007,7.0,0.1541189580970786
97,0.3400000000000001,7.0,0.14535211154953467
98,0.21,8.0,0.11761620348819639
99,0.22,8.0,0.19964751077700457
100,0.23,8.0,0.2538706509775424
101,0.24000000000000002,8.0,0.2793126723289832
102,0.25,8.0,0.2894072086792021
103,0.26,8.0,0.28655995302582954
104,0.27,8.0,0.2747133783803641
105,0.28,8.0,0.2576231875724588
106,0.29000000000000004,8.0,0.2385099270541314
107,0.30000000000000004,8.0,0.22082767893756897
108,0.31000000000000005,8.0,0.206457127384566
109,0.32000000000000006,8.0,0.19380786734548192
110,0.33000000000000007,8.0,0.1839257682130071
111,0.3400000000000001,8.0,0.17429927925786615
112,0.21,9.0,0.11088259486365074
113,0.22,9.0,0.19250691824075994
114,0.23,9.0,0.25326384872868896
115,0.24000000000000002,9.0,0.28784180609234444
116,0.25,9.0,0.3054524414162827
117,0.26,9.0,0.3086550567538998
118,0.27,9.0,0.30138421401278065
119,0.28,9.0,0.2864299839743769
120,0.29000000000000004,9.0,0.267183771510283
121,0.30000000000000004,9.0,0.2491039350379231
122,0.31000000000000005,9.0,0.2348231649658591
123,0.32000000000000006,9.0,0.2218130725567074
124,0.33000000000000007,9.0,0.21162932704459514
125,0.3400000000000001,9.0,0.2017808238907714
126,0.21,10.0,0.10533831117550557
127,0.22,10.0,0.1849302637458284
128,0.23,10.0,0.24872230973821594
129,0.24000000000000002,10.0,0.28989390027215994
130,0.25,10.0,0.3133730002108626
131,0.26,10.0,0.32211017374751316
132,0.27,10.0,0.3200604500073872
133,0.28,10.0,0.30727586894009296
134,0.29000000000000004,10.0,0.2900575028682236
135,0.30000000000000004,10.0,0.27201926261623793
136,0.31000000000000005,10.0,0.2587211434352549
137,0.32000000000000006,10.0,0.24601530813971695
138,0.33000000000000007,10.0,0.23607443858757304
139,0.3400000000000001,10.0,0.22642443764928677
140,0.21,11.0,0.10085094936706426
141,0.22,11.0,0.17773437534719222
142,0.23,11.0,0.24269211622576226
143,0.24000000000000002,11.0,0.28803959511812377
144,0.25,11.0,0.3156218444690953
145,0.26,11.0,0.3286809587876669
146,0.27,11.0,0.3311646927359877
147,0.28,11.0,0.32150718156710945
148,0.29000000000000004,11.0,0.30659922599025263
149,0.30000000000000004,11.0,0.28967784330296614
150,0.31000000000000005,11.0,0.27793919304055076
151,0.32000000000000006,11.0,0.2657221424631043
152,0.33000000000000007,11.0,0.25663923519882403
153,0.3400000000000001,11.0,0.24768702019304875
154,0.21,12.0,0.09715257341177783
155,0.22,12.0,0.1711860313157345
156,0.23,12.0,0.23606351094240816
157,0.24000000000000002,12.0,0.2839034886035381
158,0.25,12.0,0.3144526972141088
159,0.26,12.0,0.3306736450118023
160,0.27,12.0,0.33678285165721933
161,0.28,12.0,0.3301900121675083
162,0.29000000000000004,12.0,0.3177790116953481
163,0.30000000000000004,12.0,0.30223734872385344
164,0.31000000000000005,12.0,0.29265675599037483
165,0.32000000000000006,12.0,0.2810805573024611
166,0.33000000000000007,12.0,0.2733500119775043
167,0.3400000000000001,12.0,0.26510914842023947
168,0.21,13.0,0.09407218748205001
169,0.22,13.0,0.16537142269316546
170,0.23,13.0,0.2295906492735008
171,0.24000000000000002,13.0,0.2790400538819991
172,0.25,13.0,0.31110707803989873
173,0.26,13.0,0.32960379041521376
174,0.27,13.0,0.338390330151542
175,0.28,13.0,0.33449728966809394
176,0.29000000000000004,13.0,0.3250677467345189
177,0.30000000000000004,13.0,0.3110618051156099
178,0.31000000000000005,13.0,0.3032991306944833
179,0.32000000000000006,13.0,0.29284370468065735
180,0.33000000000000007,13.0,0.2864754568076464
